Gene	chr	start	end	chain	CGC_status	Alias	Gene_illustration	Gene_type	Gene_loci	Ensembl_gene_loci	RefSeq	Pubmed
SERPINA1	chr14	94843084	94857029	-	NA	PI,A1A,A1AT,AAT,ALPHA1AT,PI1,PRO2275,ALPHA-1-ANTITRYPSIN	serpin family A member 1	gene with protein product	14q32.13	ENSG00000197249	NM_001002235	24172014
SLC26A8	chr6	35911291	35992632	-	NA	SPGF3	solute carrier family 26 member 8	gene with protein product	6p21.31	ENSG00000112053	NM_001193476	11834742|11829495
RGS5	chr1	163112089	163291581	-	NA	MST092,MST106,MST129,MSTP032,MSTP092,MSTP106,MSTP129	regulator of G protein signaling 5	gene with protein product	1q23.3	ENSG00000143248	NM_003617	9747037
KCNC1	chr11	17756359	17804219	+	NA	EPM7,KV3.1,KV4,NGK2	potassium voltage-gated channel subfamily C member 1	gene with protein product	11p15.1	ENSG00000129159	NM_004976	8449507|16382104
FLT4	chr5	180028506	180076624	-	CGC OG	FLT-4,FLT41,LMPH1A,VEGFR-3,VEGFR3,PCL	fms related tyrosine kinase 4	gene with protein product	5q35.3	ENSG00000037280	NM_002020	1319394
C20ORF46	chr20	1161928	1166059	-	NA	TMEM74B	NA	gene with protein product	20p13	ENSG00000125895	NM_018354	NA
LAT2	chr7	73623726	73644164	+	NA	HSPC046,LAB,NTAL,WBSCR15,WBSCR5,WSCR5,SLC7A8,WBS15	linker for activation of T-cells family member 2	gene with protein product	14q11.2	ENSG00000092068	NM_001267036	8812460|12514734
ARHGEF5	chr7	144052433	144077725	+	NA	P60,TIM,GEF5,GUANINE NUCLEOTIDE REGULATORY PROTEIN TIM	Rho guanine nucleotide exchange factor 5	gene with protein product	7q35	ENSG00000050327	NM_005435	8134109|7656213
UGT3A2	chr5	36035119	36066993	-	NA	NA	UDP glycosyltransferase family 3 member A2	gene with protein product	5p13.2	ENSG00000168671	NM_174914	12975309
RHBG	chr1	156339003	156355011	+	NA	SLC42A2	Rh family B glycoprotein (gene/pseudogene)	gene with protein product	1q22	ENSG00000132677	NM_001256395	10852913
TNFSF15	chr9	117546915	117568406	-	NA	TL1,TL1A,TNLG1B,VEGI,VEGI192A,MGC129934,MGC129935,VASCULAR ENDOTHELIAL GROWTH INHIBITOR-192A	TNF superfamily member 15	gene with protein product	9q32	ENSG00000181634	NM_005118	9434163
CHADL	chr22	41625517	41636938	-	NA	SLRR4B	chondroadherin like	gene with protein product	22q13.2	ENSG00000100399	NM_138481	25451920
MYO3A	chr10	26223196	26501456	+	NA	DFNB30	myosin IIIA	gene with protein product	10p12.1	ENSG00000095777	NM_017433	10936054
LOR	chr1	153232176	153234598	+	NA	LRN,LOXL2	loricrin	gene with protein product	1q21.3	ENSG00000203782	NM_000427	2007607|1355480
WNK2	chr9	95947212	96082854	+	CGC TSG	NY-CO-43,P/OKCL.13,PRKWNK2,SDCCAG43,KIAA1760	WNK lysine deficient protein kinase 2	gene with protein product	9q22.31	ENSG00000165238	NM_006648	9610721|11571656
FAM90A1	chr12	8373859	8380214	-	NA	FLJ10408	family with sequence similarity 90 member A1	gene with protein product	12p13.31	ENSG00000171847	NM_018088	
SOX3	chrX	139585150	139587281	-	NA	PHP,GHDX,MRGH,PHPX,SOXB	SRY-box 3	gene with protein product	Xq27.1	ENSG00000134595	NM_005634	15800844
DDX25	chr11	125773243	125813579	+	NA	GRTH,GONADOTROPIN-REGULATED TESTICULAR RNA HELICASE	DEAD-box helicase 25	gene with protein product	11q24.2	ENSG00000109832	NM_013264	10608860|15096601
ICAM4	chr19	10397650	10399178	+	NA	CD242,LW	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	gene with protein product	19p13.2	ENSG00000105371	NM_001544	8639917|6431896
RAX	chr18	56934267	56940625	-	NA	PRKRA,MCOP3,RX	retina and anterior neural fold homeobox	gene with protein product	18q21.32	ENSG00000134438	NM_013435	10625658|10766016|14662654
BC104003		NA	NA		NA	NA	NA	NA	NA	NA	NA	NA
ARID3C	chr9	34621376	34628104	-	NA	NA	AT-rich interaction domain 3C	gene with protein product	9p13.3	ENSG00000205143	NM_001017363	
OXT	chr20	3052266	3053163	+	NA	OT,OT-NPI,OXT-NPI	oxytocin/neurophysin I prepropeptide	gene with protein product	20p13	ENSG00000101405	NM_000915	
SAMSN1	chr21	15857549	15955723	-	NA	HACS1,NASH1,SASH2,SH3D6B,SLY2,SRC HOMOLOGY DOMAIN 3 (SH3)-CONTAINING ADAPTER PROTEIN SH3 LYMPHOCYTE PROTEIN 2	SAM domain, SH3 domain and nuclear localization signals 1	gene with protein product	21q11.2	ENSG00000155307	NM_001256370	11536050|11594764
RNF212	chr4	1050701	1107328	-	NA	ZHP3,FLJ38841,LOC285498	ring finger protein 212	gene with protein product	4p16.3	ENSG00000178222	NM_194439	23396135
KBTBD10	chr2	170366212	170382772	+	NA	KLHL41	NA	gene with protein product	2q31.1	ENSG00000239474	NM_006063	NA
VENTX	chr10	135050908	135055433	+	NA	HPX42B,VENTX2	VENT homeobox	gene with protein product	10q26.3	ENSG00000151650	NM_014468	10790436
SOX14	chr3	137483126	137485180	+	NA	SOX28,SRY-BOX 14	SRY-box 14	gene with protein product	3q22.3	ENSG00000168875	NM_004189	9925951
C6ORF191	chr6	130152467	130182692	-	NA	TMEM244	NA	gene with protein product	6q22.33	ENSG00000203756	NM_001010876	NA
UTS2R	chr17	80332106	80333462	+	NA	GPR14,UR-2-R,UTR2	urotensin 2 receptor	gene with protein product	17q25.3	ENSG00000181408	NM_018949	8666380|10499587
RPS6KA1	chr1	26856258	26901516	+	NA	HU-1,MAPKAPK1A,P90RSK,RSK1	ribosomal protein S6 kinase A1	gene with protein product	1p36.11	ENSG00000117676	NM_002953	8141249
SULT1C4	chr2	108994468	109004513	+	NA	SULT1C,SULT1C2	sulfotransferase family 1C member 4	gene with protein product	2q12.3	ENSG00000198075	NM_006588	10783263|9852044
TTC9B	chr19	40721965	40724306	-	NA	FLJ30373	tetratricopeptide repeat domain 9B	gene with protein product	19q13.2	ENSG00000174521	NM_152479	
EEF1A2	chr20	62119366	62130668	-	NA	EEF1AL,EF-1-ALPHA-2,EIEE33,MRD38,STN,STNL	eukaryotic translation elongation factor 1 alpha 2	gene with protein product	20q13.33	ENSG00000101210	NM_001958	8354261|8812466
RSPH6A	chr19	46298968	46318577	-	NA	RSHL1,RSP4,RSP6,RSPH4B	radial spoke head 6 homolog A	gene with protein product	19q13.3	ENSG00000104941	NM_030785	11237735
GTF2H2	chr5	70328497	70363428	-	NA	BTF2P44,P44,T-BTF2P44	general transcription factor IIH subunit 2	gene with protein product	5q13.2	ENSG00000145736	NM_001515	8194529
LCP2	chr5	169673241	169725231	-	NA	SLP-76,SLP76	lymphocyte cytosolic protein 2	gene with protein product	5q35.1	ENSG00000043462	NM_005565	7706237
POU3F4	chrX	82763258	82767135	+	NA	BRAIN-4,BRN-4,BRN4,DFN3,DFNX2,OCT-9,OTF-9,OTF9	POU class 3 homeobox 4	gene with protein product	Xq21.1	ENSG00000196767	NM_000307	7911044|7581392
PYDC1	chr16	31227283	31228680	-	NA	ASC2,CPOP1,PYC1,ASCI,GN   POP1,GN   PYC1,POP1	pyrin domain containing 1	gene with protein product	16p11.2	ENSG00000169900	NM_152901	11786556|16905547|12656673
CPXM2	chr10	125465723	125699783	-	NA	CPX2,UNQ676,CYTOSOLIC CARBOXYPEPTIDASE	carboxypeptidase X, M14 family member 2	gene with protein product	10q26.13	ENSG00000121898	NM_198148	12975309
XDH	chr2	31557187	31637581	-	NA	XAN1,XO,XOR,XDHA	xanthine dehydrogenase	gene with protein product	2p23.1	ENSG00000158125	NM_000379	8224915
GLRA3	chr4	175558065	175750465	-	NA	NA	glycine receptor alpha 3	gene with protein product	4q34.1	ENSG00000145451	NM_001042543	9677400
CTNND2	chr5	10971952	11904155	-	CGC OG	GT24,NPRAP,NEUROJUNGIN	catenin delta 2	gene with protein product	5p15.2	ENSG00000169862	NM_001332	9342840|9223106
UNC5A	chr5	176237478	176307896	+	NA	UNC5H1,KIAA1976	unc-5 netrin receptor A	gene with protein product	5q35.2	ENSG00000113763	XM_030300	12655055|20372800
RAB17	chr2	238482965	238499736	-	NA	NA	RAB17, member RAS oncogene family	gene with protein product	2q37.3	ENSG00000124839	NM_022449	9624171
STAG3L1	chr7	74988447	75024642	+	NA	DKFZP434A0131,STAG3L1P	stromal antigen 3-like 1 (pseudogene)	pseudogene	7q11.23	ENSG00000205583	NM_001002840	
CDH12	chr5	21750782	22853450	-	NA	CDHB,BR-CADHERIN	cadherin 12	gene with protein product	5p14.3	ENSG00000154162	NM_004061	7731968
ELAVL3	chr19	11562141	11591848	-	NA	HUC,HUCL,PLE21,DKFZP547J036,MGC20653,ELAV-LIKE PROTEIN 3	ELAV like RNA binding protein 3	gene with protein product	19p13.2	ENSG00000196361	NM_001420	9799595
CSRNP3	chr2	166326157	166545917	+	NA	FAM130A2,PPP1R73,TAIP-2,TAIP2,FLJ32093	cysteine and serine rich nuclear protein 3	gene with protein product	2q24.3	ENSG00000178662	NM_024969	17726538
ZFP42	chr4	188916925	188926204	+	NA	REX1,REX-1,ZFP-42,ZNF754	ZFP42 zinc finger protein	gene with protein product	4q35.2	ENSG00000179059	NM_174900	12110702
MAP2	chr2	210288782	210595242	+	NA	MAP2A,MAP2B,MAP2C,METAP2	microtubule associated protein 2	gene with protein product	12q22	ENSG00000111142	NM_006838	3103857|7479905
BCHE	chr3	165490692	165555260	-	NA	CHE2,E1	butyrylcholinesterase	gene with protein product	3q26.1	ENSG00000114200	NM_000055	1769657|2318303
DNAH8	chr6	38683117	38998295	+	NA	ATPASE,HDHC9	dynein axonemal heavy chain 8	gene with protein product	6p21.2	ENSG00000124721	NM_001206927	9373155
POMC	chr2	25383784	25391772	-	NA	MSH,ACTH,CLIP,NPP,POC,OPIOMELANOCORTIN PREPROPEPTIDE	proopiomelanocortin	gene with protein product	2p23.3	ENSG00000115138	NM_001035256	6254047|9620771
PENK	chr8	57349233	57358503	-	NA	PENK-A,PREPROENKEPHALIN	proenkephalin	gene with protein product	8q12.1	ENSG00000181195	NM_001135690	6281660
RFX4	chr12	106976685	107156580	+	NA	NYD-SP10	regulatory factor X4	gene with protein product	12q23.3	ENSG00000111783	NM_032491	8600444|11682486
KLK8	chr19	51499264	51505967	-	NA	HNP,NRPN,PRSS19,TADG14,OVASIN	kallikrein related peptidase 8	gene with protein product	19q13	ENSG00000129455	NM_007196	10102990|9714609|16800724|16800723
TACR3	chr4	104507188	104640973	-	NA	HH11,NK-3R,NK3R,TAC3RL,TAC3R,NEUROKININ BETA RECEPTOR	tachykinin receptor 3	gene with protein product	4q24	ENSG00000169836	NM_001059	1374246
BIN2	chr12	51675066	51718452	-	NA	BRAP-1	bridging integrator 2	gene with protein product	12q13.13	ENSG00000110934	NM_001290007	10903846
CD52	chr1	26644448	26647014	+	NA	CDW52,HE5,HEL-S-171MP	CD52 molecule	gene with protein product	1p36.11	ENSG00000169442	NM_001803	1711975|11420384
BATF2	chr11	64755415	64764517	-	NA	SARI,MGC20410	basic leucine zipper ATF-like transcription factor 2	gene with protein product	11q13.1	ENSG00000168062	NM_138456	
NPFFR2	chr4	72897521	73013784	+	NA	GPR74,HLWAR77,NPFF2,NPGPR	neuropeptide FF receptor 2	gene with protein product	4q13.3	ENSG00000056291	NM_004885	10079187|10851242
STEAP4	chr7	87900207	87936206	-	NA	STAMP2,TIARP,TNFAIP9,FLJ23153	STEAP4 metalloreductase	gene with protein product	7q21.12	ENSG00000127954	NM_024636	11443137|15897894
DLL3	chr19	39989535	39999108	+	NA	SCDO1	delta like canonical Notch ligand 3	gene with protein product	19q13.2	ENSG00000090932	NM_016941	10364530|10742114
CCDC108	chr2	219867568	219906249	-	NA	CFAP65	NA	gene with protein product	2q35	ENSG00000181378	NM_194302	NA
NOVA2	chr19	46436992	46476804	-	NA	ANOVA,NOVA3	NOVA alternative splicing regulator 2	gene with protein product	19q13.32	ENSG00000104967	NM_002516	9344654|10368286
C15ORF48	chr15	45722777	45740959	+	NA	FOAP-11,NMES1,MIR147B HOST GENE	chromosome 15 open reading frame 48	gene with protein product	15q21.1	ENSG00000166920	NM_032413	12209954
ZBED2	chr3	111311747	111314290	-	NA	MGC10796	zinc finger BED-type containing 2	gene with protein product	3q13.13	ENSG00000177494	NM_024508	23533661
MYO18B	chr22	26138120	26427007	+	NA	KFS4,BK125H2.1	myosin XVIIIB	gene with protein product	22q12.1	ENSG00000133454	NM_032608	12209013|12547197
RTN4R	chr22	20230372	20270769	-	NA	NGR,NOGOR	reticulon 4 receptor	gene with protein product	22q11.21	ENSG00000040608	NM_023004	11201742
PRODH	chr22	18900290	18924066	-	NA	HSPOX2,PIG6,POX,PRODH1,PRODH2,TP53I6,PROLINE OXIDASE	proline dehydrogenase 1	gene with protein product	19q13.12	ENSG00000250799	NM_021232	9385373|10192398
ONECUT3	chr19	1752372	1780987	+	NA	OC3	one cut homeobox 3	gene with protein product	19p13.3	ENSG00000205922	NM_001080488	9915796
GABRR3	chr3	97705527	97754148	-	NA	GABA(A) RECEPTOR, RHO 3	gamma-aminobutyric acid type A receptor rho3 subunit (gene/pseudogene)	gene with protein product	3q11.2	ENSG00000183185	NM_001105580	10542332
PLN	chr6	118869461	118881893	+	NA	CMD1P,CMH18,PLB	phospholamban	gene with protein product	6q22.31	ENSG00000198523	NM_002667	1828805
SAP25	chr7	100169851	100171443	-	NA	FLJ00248	Sin3A associated protein 25	gene with protein product	7q22.1	ENSG00000205307	NM_001168682	16449650
TMEM61	chr1	55446465	55457966	+	NA	NA	transmembrane protein 61	gene with protein product	1p32.3	ENSG00000143001	NM_182532	12477932
TMEM88	chr17	7758383	7759417	+	NA	FLJ20025,MGC71744,TMEM88A	transmembrane protein 88	gene with protein product	17p13.1	ENSG00000167874	NM_203411	
KCNF1	chr2	11052063	11054351	+	NA	IK8,KCNF,KH1,KV5.1	potassium voltage-gated channel modifier subfamily F member 1	gene with protein product	2p25.1	ENSG00000162975	NM_002236	9434767|16382104
DRP2	chrX	100474758	100519486	+	NA	DPYSL2	dystrophin related protein 2	gene with protein product	Xq22.1	ENSG00000102385	NM_001939	8640231
RAET1E	chr6	150204511	150217195	-	NA	BA350J20.7,LETAL,N2DL-4,NKG2DL4,RAET1E2,RL-4,ULBP4,N2DL4	retinoic acid early transcript 1E	gene with protein product	6q25.1	ENSG00000164520	NM_139165	11827464
GTF2H2B	chr5	69711270	69743842	+	NA	DKFZP686M0199	general transcription factor IIH subunit 2B (pseudogene)	pseudogene	5q13.2	ENSG00000226259	NM_001098729	
TSPAN1	chr1	46640759	46651630	+	NA	TM4C,TM4SF,NET-1,TSPAN-1	tetraspanin 1	gene with protein product	1p34.1	ENSG00000117472	NM_005727	9714763|10719184
PCDHB5	chr5	140514800	140518207	+	NA	PCDH-BETA5,DKFZP586B0217	protocadherin beta 5	protocadherin	5q31.3	ENSG00000113209	NM_015669	10380929
BAIAP3	chr16	1383644	1399439	+	NA	BAP3,KIAA0734	BAI1 associated protein 3	gene with protein product	16p13.3	ENSG00000007516	NM_001199096	9790924
C8ORF30A	chr8	145192672	145195746	+	NA	HGH1	NA	gene with protein product	8q24.3	ENSG00000235173	NM_016458	NA
C17ORF87	chr17	5112256	5138155	-	NA	SCIMP	NA	gene with protein product	17p13.2	ENSG00000161929	NM_207103	NA
CIDEB	chr14	24774393	24780628	-	NA	NA	cell death-inducing DFFA-like effector b	gene with protein product	14q12	ENSG00000136305	NM_001318807	10619428|10837461
LRRC3B	chr3	26664297	26752267	+	NA	LRP15	leucine rich repeat containing 3B	gene with protein product	3p24.1	ENSG00000179796	NM_052953	
TMEM139	chr7	142977050	142984389	+	NA	FLJ90586	transmembrane protein 139	gene with protein product	7q34	ENSG00000178826	NM_153345	
SPIN2A	chrX	57160963	57163430	-	NA	DJ323P24.1,DXF34,SPIN2,TDRD25	spindlin family member 2A	gene with protein product	Xp11.21	ENSG00000147059	NM_019003	9271673
GOLGA7B	chr10	99609996	99631335	+	NA	BA451M19.3,BA459F3.4,C10ORF132,C10ORF133	golgin A7 family member B	gene with protein product	10q24.2	ENSG00000155265	NM_001010917	
VWF	chr12	6058040	6233841	-	NA	F8VWF,VWD	von Willebrand factor	gene with protein product	12p13.31	ENSG00000110799	NM_000552	2251280
SLC13A5	chr17	6588032	6616886	-	NA	EIEE25,MINDY,NACT	solute carrier family 13 member 5	gene with protein product	17p13.1	ENSG00000141485	NM_177550	12445824
DRD1	chr5	174867042	174871211	-	NA	DADR,DRD1A	dopamine receptor D1	gene with protein product	5q35.2	ENSG00000184845	NM_000794	
BTN1A1	chr6	26501449	26510650	+	NA	BTN	butyrophilin subfamily 1 member A1	gene with protein product	6p22.2	ENSG00000124557	NM_001732	8114113|9382921
BEGAIN	chr14	101005636	101053750	-	NA	KIAA1446	brain enriched guanylate kinase associated	gene with protein product	14q32.2	ENSG00000183092	NM_020836	10819331
TNFRSF13C	chr22	42318027	42322822	-	NA	BAFF-R,BAFFR,BROMIX,CD268,CVID4,PROLIXIN,BR3	TNF receptor superfamily member 13C	gene with protein product	22q13.2	ENSG00000159958	NM_052945	11509692
NANOS3	chr19	13972877	13991569	+	NA	NANOS1L,NOS3,ZC2HC12C	nanos C2HC-type zinc finger 3	gene with protein product	7q36.1	ENSG00000164867	NM_000603	
C3	chr19	6677715	6720693	-	NA	AHUS5,ARMD9,C3A,C3B,CPAMD1,HEL-S-62P,PREPRO-C3	complement C3	gene with protein product	19p13.3	ENSG00000125730	NM_000064	
RAP1GAP	chr1	21922708	21995856	-	NA	RAP1GA1,RAP1GAP1,RAP1GAPII,RAPGAP,KIAA0474	RAP1 GTPase activating protein	gene with protein product	1p36.12	ENSG00000076864	NM_002885	1904317
PLEKHG6	chr12	6419602	6437671	+	NA	MYOGEF,FLJ10665,MYOSIN II INTERACTING GEF	pleckstrin homology and RhoGEF domain containing G6	gene with protein product	12p13.31	ENSG00000008323	NM_018173	16721066|17881735
LRRN2	chr1	204586298	204654861	-	NA	FIGLER7,GAC1,LRANK1,LRRN5,LRRTM2	leucine rich repeat neuronal 2	gene with protein product	5q31.2	ENSG00000146006	NM_015564	9662332
LECT1	chr13	53277399	53313947	-	NA	BRICD3,CHM-I,CHM1,MYETS1,CHONDROMODULIN,CHMI,CNMD	NA	NA	NA	NA	NA	NA
VRTN	chr14	74769772	74823736	+	NA	C14ORF115,VERTNIN,FLJ10811	vertebrae development associated	gene with protein product	14q24.3	ENSG00000133980	NM_018228	21232157
LIMS3	chr2	110656268	110677180	+	NA	PINCH-3,PINCH3,PINCH 2	LIM zinc finger domain containing 3	gene with protein product	2q13	ENSG00000256977	NM_033514	
FOXB2	chr9	79634571	79635869	+	NA	BA159H20.4	forkhead box B2	gene with protein product	9q21.2	ENSG00000204612	NM_001013735	
FREM1	chr9	14734664	14910993	-	NA	BNAR,C9ORF143,C9ORF145,C9ORF154,MOTA,TILRR,TRIGNO2,DKFZP686M16108,FLJ25461	FRAS1 related extracellular matrix 1	gene with protein product	9p22.3	ENSG00000164946	NM_144966	12838346|15345741
KRTAP5-6	chr11	1718425	1718985	+	NA	KRTAP5.6,KRTAP5-11,KAP5.6	keratin associated protein 5-6	gene with protein product	11q13.4	ENSG00000204571	NM_001005405	15144888
CR2	chr1	207627575	207663240	+	NA	C3DR,CD21,CVID7,SLEB9,EPSTEIN-BARR VIRUS RECEPTOR	complement C3d receptor 2	gene with protein product	1q32.2	ENSG00000117322	NM_001877	
AK097143		NA	NA		NA	NA	NA	NA	NA	NA	NA	NA
RAB25	chr1	156030951	156040305	+	NA	CATX-8,RAB11C,CATX8	RAB25, member RAS oncogene family	gene with protein product	1q22	ENSG00000132698	NM_020387	11697911
CX3CR1	chr3	39304986	39323226	-	NA	CMKBRL1,CMKDR1,GPR13,GPRV28,V28	C-X3-C motif chemokine receptor 1	gene with protein product	3p22.2	ENSG00000168329	NM_001337	9726990|7646814
AKAP4	chrX	49955411	49965664	-	NA	AKAP 82,AKAP-4,AKAP82,CT99,FSC1,HAKAP82,P82,PRKA4,CANCER/TESTIS ANTIGEN 99	A-kinase anchoring protein 4	gene with protein product	Xp11.22	ENSG00000147081	NM_003886	9822690|9514854
HLA-DRA	chr6	32407619	32412823	+	NA	HLA-DRA1	major histocompatibility complex, class II, DR alpha	gene with protein product	6p21.32	ENSG00000204287	NM_019111	
ADRA2C	chr4	3768075	3770218	+	NA	ADRA2L2,ADRA2RL2,ADRARL2,ALPHA2CAR	adrenoceptor alpha 2C	gene with protein product	4p16.3	ENSG00000184160	NM_000683	1849485
FOXA3	chr19	46367518	46377055	+	NA	FKHH3,HNF3G,TCF3G	forkhead box A3	gene with protein product	19q13.32	ENSG00000170608	NM_004497	9119385
ROBO3	chr11	124735282	124751362	+	NA	HGPPS,RBIG1,FLJ21044	roundabout guidance receptor 3	gene with protein product	11q24.2	ENSG00000154134	XM_370663	15105459
PLEKHB1	chr11	73357223	73373864	+	NA	KPL1,PHR1,PHRET1,EVT1	pleckstrin homology domain containing B1	gene with protein product	11q13.4	ENSG00000021300	NM_001130033	10585447
AOAH	chr7	36552557	36764154	-	NA	NA	acyloxyacyl hydrolase	gene with protein product	7p14.2	ENSG00000136250	NM_001637	1883828
HES3	chr1	6304252	6305638	+	NA	BHLHB43	hes family bHLH transcription factor 3	gene with protein product	1p36.31	ENSG00000173673	NM_001024598	
PRDM14	chr8	70963886	70983562	-	NA	PFM11	PR/SET domain 14	gene with protein product	8q13.3	ENSG00000147596	NM_024504	
GIMAP4	chr7	150264365	150271043	+	NA	IAN-1,IAN1,IMAP4,MSTP062,FLJ11110,HIMAP4,IMMUNE-ASSOCIATED NUCLEOTIDE-BINDING PROTEIN 1	GTPase, IMAP family member 4	gene with protein product	7q36.1	ENSG00000133574	NM_018326	15474311|18701445
KLC3	chr19	45836692	45853645	+	NA	KLC2,KLC2L,KLCT,KNS2B	kinesin light chain 3	gene with protein product	19q13.32	ENSG00000104892	NM_145275	
SOX18	chr20	62678935	62680994	-	NA	HLTRS,HLTS	SRY-box 18	gene with protein product	20q13.33	ENSG00000203883	NM_018419	10807548
MMP23B	chr1	1567474	1570030	+	NA	MIFR,MIFR-1,MMP22,MMP23A,MIFR-2	matrix metallopeptidase 23B	gene with protein product	1p36.33	ENSG00000189409	NM_006983	9740677|9750192
SLC25A48	chr5	135170416	135224326	+	NA	FLJ44862,HCC-DOWN-REGULATED MITOCHONDRIAL CARRIER PROTEIN	solute carrier family 25 member 48	gene with protein product	5q31.1	ENSG00000145832	NM_145282	15322095|19303656
S1PR4	chr19	3172344	3179525	+	NA	EDG6,S1P4	sphingosine-1-phosphate receptor 4	gene with protein product	19p13.3	ENSG00000125910	NM_003775	9790765
VSTM2B	chr19	30017406	30055386	+	NA	NA	V-set and transmembrane domain containing 2B	gene with protein product	19q12	ENSG00000187135	NM_001146339	
ARSE	chrX	2852673	2886351	-	NA	ASE,CDPX,CDPX1,CDPXR	arylsulfatase E (chondrodysplasia punctata 1)	gene with protein product	Xp22.33	ENSG00000157399	NM_000047	7720070
SPHKAP	chr2	228844666	229046361	-	NA	KIAA1678,SPHINGOSINE KINASE TYPE 1-INTERACTING PROTEIN	SPHK1 interactor, AKAP domain containing	gene with protein product	2q36.3	ENSG00000153820	NM_030623	12080051|11214970
MCF2L	chr13	113548692	113751175	+	NA	OST,ARHGEF14,KIAA0362	MCF.2 cell line derived transforming sequence like	gene with protein product	13q34	ENSG00000126217	NM_001112732	9205841
SFRP5	chr10	99526508	99531709	-	NA	SARP3,FRP1B,SECRETED APOPTOSIS RELATED PROTEIN 3	secreted frizzled related protein 5	gene with protein product	10q24.2	ENSG00000120057	NM_003015	9391078
LBX1	chr10	102985952	102989551	-	NA	HOMEOBOX,HPX-6,HPX6,LBX1H	ladybird homeobox 1	gene with protein product	10q24.32	ENSG00000138136	NM_006562	8645601
PALM3	chr19	14164177	14169971	-	NA	NA	paralemmin 3	gene with protein product	19p13.12	ENSG00000187867	NM_001145028	
IL8	chr4	74606223	74609433	+	NA	CXCL8	NA	gene with protein product	4q13.3	ENSG00000169429	NM_000584	NA
SCML4	chr6	108025308	108145521	-	NA	DJ47M23.1	Scm polycomb group protein like 4	gene with protein product	6q21	ENSG00000146285	XM_171128	
LDB3	chr10	88428206	88495825	+	NA	CMD1C,CMH24,CMPD3,CYPHER,LDB3Z1,LDB3Z4,LVNC3,MFM4,ORACLE,PDLIM6,ZASP,KIAA0613,GN   ZASP	LIM domain binding 3	gene with protein product	10q23.2	ENSG00000122367	NM_001080114	10427098|23271734|23996002|14662268
TLR9	chr3	52255096	52260179	-	NA	CD289	toll like receptor 9	gene with protein product	3p21.2	ENSG00000239732	NM_017442	11022119
SLC6A17	chr1	110693108	110744824	+	NA	MRT48,NTT4	solute carrier family 6 member 17	gene with protein product	1p13.3	ENSG00000197106	XM_371280	
EIF4E1B	chr5	176057683	176073642	+	NA	FLJ36951	eukaryotic translation initiation factor 4E family member 1B	gene with protein product	5q35.2	ENSG00000175766	NM_001099408	16191198
SPI1	chr11	47376411	47400127	-	NA	PU.1,SFPI1,SPI-1,SPI-A,31 KDA TRANSFORMING PROTEIN	Spi-1 proto-oncogene	gene with protein product	11p11.2	ENSG00000066336	NM_003120	1693183
RANBP3L	chr5	36248536	36302004	-	NA	FLJ25422	RAN binding protein 3 like	gene with protein product	5p13.2	ENSG00000164188	NM_145000	25755279
CBLC	chr19	45281126	45303891	+	CGC TSG/OG	CBL-SL,RNF57,MMACHC,CBL3	Cbl proto-oncogene C	gene with protein product	1p34.1	ENSG00000132763	NM_015506	10362357|10571044
MT3	chr16	56622986	56624990	+	NA	GIF,GIFB,GRIF,ZNMT3	metallothionein 3	gene with protein product	16q13	ENSG00000087250	NM_005954	1631128
SHANK1	chr19	51165198	51222707	-	NA	SPANK-1,SSTRIP,SYNAMON,SOMATOSTATIN RECEPTOR-INTERACTING PROTEIN	SH3 and multiple ankyrin repeat domains 1	gene with protein product	19q13.33	ENSG00000161681	NM_016148	10551867
SLC16A8	chr22	38474141	38480100	-	NA	MCT3,REMP,MONOCARBOXYLATE TRANSPORTER 3	solute carrier family 16 member 8	gene with protein product	22q13.1	ENSG00000100156	NM_013356	10493836
DGKZ	chr11	46354455	46402104	+	NA	DAGK6,DGK-ZETA,HDGKZETA	diacylglycerol kinase zeta	gene with protein product	11p11.2	ENSG00000149091	NM_001105540	8626588
B3GAT1	chr11	134248400	134281812	-	NA	CD57,GLCATP,GLCUATP,HNK1,NK-1,GLCAT-P,HNK-1,LEU7	beta-1,3-glucuronyltransferase 1	gene with protein product	11q25	ENSG00000109956	NM_018644	
HLA-DOA	chr6	32971955	32977389	-	NA	HLA-DNA,HLA-DZA,HLADZ,HLA-D0-ALPHA	major histocompatibility complex, class II, DO alpha	gene with protein product	6p21.32	ENSG00000204252	NM_002119	2370084
CDHR1	chr10	85954406	85979377	+	NA	CORD15,PCDH21,PRCAD,RP65,KIAA1775	cadherin related family member 1	gene with protein product	10q23.1	ENSG00000148600	NM_033100	11597768
IGSF6	chr16	21650858	21663981	-	NA	DORA	immunoglobulin superfamily member 6	gene with protein product	16p12.2	ENSG00000140749	NM_005849	9809579
ASPA	chr17	3379296	3406713	+	NA	ACY2,CANAVAN DISEASE	aspartoacylase	gene with protein product	17p13.2	ENSG00000108381	NM_000049	8252036
RAB11FIP4	chr17	29718642	29865236	+	NA	RAB11-FIP4,FLJ00131,KIAA1821,MGC11316,ARFO2	RAB11 family interacting protein 4	gene with protein product	17q11.2	ENSG00000131242	NM_032932	11347906|11468690
ATP1A3	chr19	42470734	42498428	-	NA	AHC2,CAPOS,DYT12	ATPase Na+/K+ transporting subunit alpha 3	gene with protein product	19q13.2	ENSG00000105409	NM_152296	17282997
